<<<<<<< HEAD
,precision,recall,f1-score,support
NV,0.37,0.22560975609756098,0.28030303030303033,164.0
MEL,0.6109660574412533,0.7090909090909091,0.6563814866760169,660.0
AK,0.5203252032520326,0.41025641025641024,0.4587813620071685,468.0
BKL,0.47368421052631576,0.20454545454545456,0.28571428571428575,44.0
BCC,0.5997490589711418,0.5184381778741866,0.5561372891215822,922.0
VASC,0.8041095890410959,0.8917584504367642,0.845669007743562,2633.0
SCC,0.373134328358209,0.1984126984126984,0.25906735751295334,126.0
DF,0.7142857142857143,0.40816326530612246,0.5194805194805194,49.0
accuracy,0.7060797473351756,0.7060797473351756,0.7060797473351756,0.7060797473351756
macro avg,0.5582817702344703,0.44578439025251326,0.4826917923198898,5066.0
weighted avg,0.6870264516356235,0.7060797473351756,0.6916629874904711,5066.0
=======
,precision,recall,f1-score,support
NV,0.37,0.22560975609756098,0.28030303030303033,164.0
MEL,0.6109660574412533,0.7090909090909091,0.6563814866760169,660.0
AK,0.5203252032520326,0.41025641025641024,0.4587813620071685,468.0
BKL,0.47368421052631576,0.20454545454545456,0.28571428571428575,44.0
BCC,0.5997490589711418,0.5184381778741866,0.5561372891215822,922.0
VASC,0.8041095890410959,0.8917584504367642,0.845669007743562,2633.0
SCC,0.373134328358209,0.1984126984126984,0.25906735751295334,126.0
DF,0.7142857142857143,0.40816326530612246,0.5194805194805194,49.0
accuracy,0.7060797473351756,0.7060797473351756,0.7060797473351756,0.7060797473351756
macro avg,0.5582817702344703,0.44578439025251326,0.4826917923198898,5066.0
weighted avg,0.6870264516356235,0.7060797473351756,0.6916629874904711,5066.0
>>>>>>> main
