,precision,recall,f1-score,support
NV,0.9302841918294849,0.8287183544303798,0.8765690376569037,2528.0
MEL,0.8923195677344654,0.9266533066132264,0.9091624066063704,2495.0
AK,0.9925289503175196,1.0,0.9962504686914135,2657.0
BKL,0.9454613373178932,0.9723396081444488,0.9587121212121212,2603.0
BCC,0.9578829668281774,0.9775580068467098,0.9676204819277109,2629.0
VASC,0.9953739398612182,1.0,0.9976816074188563,2582.0
SCC,0.9936025589764095,1.0,0.9967910148415564,2485.0
DF,0.9984761904761905,1.0,0.999237514296607,2621.0
accuracy,0.9637378640776699,0.9637378640776699,0.9637378640776699,0.9637378640776699
macro avg,0.96324121291767,0.9631586595043456,0.9627530815814425,20600.0
weighted avg,0.9636271518098044,0.9637378640776699,0.9632430695487328,20600.0
